Statement,Keywords
Develop talents you were blessed.,
"Transform your heart into one of gold,",
And believe in more than yourself.,himachaltourismofficial onehimachal natgeotravellerindia himachalgram beautifulhimachal
,devbhoomi_himachal himachali_insta_shoutout jannatehimachal lonelyplanetindia
For every,instahimachal
Youre the driver of your destiny,
"Passenger of none,",
In control and looking forward,
Of things that must be done,
"Hopes and dreams not yet reached,",
Motivation on display.,
"A journey full of ups and downs,",
Experience gained each day.,
Direction is always forward;,
Backwards remains the same.,
"Discover your authentic self,",
And have a willingness to change.,
Enhance each quality given.,
Develop talents you were blessed.,
"Transform your heart into one of gold,",
And believe in more than yourself.,
For every,
"""Her mind was like a balloon with static cling, attracting random ideas as they floated by",
"10 Seconds Long Exposure using @haidafilter Medium ND Filter (4 Stops) shot near Sojha, Himachal",
Pradesh.,
Calculate karo without 4-stop ND Filter kitni shutter speed aati?,
.,
.,
Gear: @canonindia_official,
5D Mark iii + 24-70mm f/2.8,
.,
.,
#haida #haidafilter #waterfall #longexposure #sojha #jibhi #himachal #himachaldiaries,
#himachalpradesh #himachalpictures #indiaclicks #indiapictures #instalike #photographersofindia,
#_soi #indiatimes #coi #picoftheday #dslrofficial #igs_asia #igs_world #creativem,haidafilter
Photowalk Group Photo,
@alka.0812 and I have been planning @flavorsofdelhi photowalks in Delhi for the past few years and,
we continue to do so with the main objective of sharing knowledge with each other. Happy to see so,
many new faces join the walks each time. NEXT PHOTOWALK KAHA KARI JAE?,
.,
.,
.,
.,
#flavorsofdelhi #photowalk #delhi,alka.0812
YAMUNA GHAT,
"Recently got to know a great news from the locals: ""To improve the water quality of Yamuna river, the",
Delhi Jal Board on Wednesday accorded approval for the construction of Indias largest sewage,
"treatment plant at Okhla"" - Source: weather.com",
.,
.,
"Hope this does start, and sometime soon.",
.,
.,
.,
Model: @gauravv.singhh,
Shot using @canonindia_official,
M50 .,
.,
.,
#yamunaghat #sodelhi #indiaclicks #indiapictures #instalike #photographersofindia #_soidelhi #_soi,
#indiatimes #coi #picoftheda,gauravv.singhh
DELHI is full of SURPRISES,
Shot using @xiaomiindia #redmik20 12mm UltraWide camera. .,
.,
PRO TIP: I m,xiaomiindia
Few months back I tried something different. Took the @sigmaphotoindia 60-600mm lens to Okhla,
Bird S,sigmaphotoindia
What is photography to you? COMMENT BELOW:slightly_smiling_face:Shall pin the best ones...I still,
"remember I used to shoot for hours without even realizing that I skipped a meal, abhi bhi hota hai:",
rolling_on_the_floor_laughing:..:camera: @rkp_india#thephotographyblogger #tpbchallenge,tpbchallenge thephotographyblogger rkp_india#thephotographyblogger
"Shot at 60 FPS, using @canonindia_official EOS R5 + RF 15-35mm f/2.8 and all thanks to @polarpro",
Variable ND filter which allowed me to maintain the 1/125 sec shutter speed at f/2.8 in broad day,canonindia polarpro canon tpbchallenge thephotographyblogger canonr5 polarpro
light...#thephotographyblogger #tpbchallenge #canon #canonindia #canonr5 #polarpro,canonindia_official
YAMUNAGuess the APERTURE VALUE used here?#thephotographyblogger #tpbchallenge #delhi,delhi tpbchallenge thephotographyblogger
"CYCLE, some of us are using it to get fit, while for many it is still the only means of transport...Shot on",
@canonindia_official EOS R5 + RF 70-200mm f/2.8...#thephotographyblogger #tpbchallenge #delhi,canonr5 streetphotography tpbchallenge canonindia_official thephotographyblogger
#streetphotography #streetphotographers #indiapictures #indiaclicks #canonindia #canonr5,indiaclicks canonindia indiapictures streetphotographers delhi
"Shot using Animal AF on the Canon EOS R5, and MAN this is one of the best advancements I have",
come across as a canon user for almost 9 years. Surely a blessing for wildlife photographers...Shot at,
f/2.8 using RF Canon 70-200 f/2.8 lens...#thephotographyblogger #tpbchallenge #canonindia,
#canonr5,canonr5 tpbchallenge thephotographyblogger canonindia
Masks aur cycles 2 aisi cheeze hai jo last kuch months mei sabse zada sell hui hongi:,
"rolling_on_the_floor_laughing:, I too ended up buying one few weeks back:",
smiling_face_with_sunglasses:..Shot this while testing the amazing combo of RF 70-200mm f/2.8 lens,
& Canon EOS R5...#thephotographyblogger #tpbchallenge #canonr5 #canonindia,tpbchallenge thephotographyblogger canonindia canonr5
"The moment I saw these stairs outside a metro station, I thought of creating something dramatic using",
"the leading lines here. .So waited and clicked for more than 10 minutes at the same point, because I",
was not getting anything interesting as such. So finally this man in formals passed my frame and I,
"was about to capture him in motion:slightly_smiling_face:...Btw, this is shot on a smartphone camera,",
ab kaunsa tha wo yaad nahi:rolling_on_the_floor_laughing:...#thephotographyblogger #tpbchallenge,delhi tpbchallenge thephotographyblogger mobilephotography streetphotography
#streetphotography #mobileclick #mobilephotography #delhi,mobileclick
Trying out the 5x zoom on Samsung Note 20 Ultra. Kaisa laga result?..#thephotographyblogger,thephotographyblogger mobilephotography samsungindia mobileclick samsungnote20ultra
#tpbchallenge #samsungnote20ultra @samsungindia #mobilephotography #mobileclick,tpbchallenge
Missing the magical sunrise view from Yamuna Ghat. Clicking photos at this location is simple yet,
"challenging at the same time. You see multiple activities happening simultaneously, and it is very",
tempting as a photography enthusiast to run here and there to capture the moments. Those of you,
who have been here can relate to what i just wrote:slightly_smiling_face:...Complete post processing,
done using instagram tools:smiling_face_with_sunglasses:...#thephotographyblogger #tpbchallenge,indiapictures yamunaghat tpbchallenge sunrise thephotographyblogger canon delhi
#yamunaghat #delhi #sunrise #indiaclicks #indiapictures #canon,indiaclicks
Drops and Shine! . ..IG:- @travelwithdanish #travelwithdanish..Shot on Pixel 3Xl#TeamPixel,
#focusontheweekend#googlecolors..Lens:- #rhinoshield...@instagram #nvedi #leaf#lonelyplanet,indianphotos tripotocommunity travelwithdanish travelwithdanish..shot natgeoyourshot
#indiapictures #earth #streetphotographyindia #i_hobbygraphy #coi #_soi #natgeoyourshot,travelrealindia teampixel maibhisadakchap leaf nature lpmi nvedi rhinoshield...@instagram
#spicollective #lpmi #travelrealindia #tripotocommunity #iiframe #CNTGiveItAShot #natgeoindia,spicollective i_hobbygraphy indiapictures nustaharamkhor natgeoindia lonelyplanet
#sidthewanderer #sodelhi #WhatKarlLoves #street_vision #nustaharamkhor #maibhisadakchap,streetphotographyindia iiframe _soi focusontheweekend cntgiveitashot sidthewanderer
#streetphotographyindia #indianphotos#nature,googlecolors..lens:- coi earth sodelhi whatkarlloves street_vision
"Sometimes you need to take a break from Everyone and Everything, Spend time alone, to",
"experience, appreciate, and love yourself.And @sohaima._.ali has gifted me this beautiful shirt for my",
"Goa Trip, but unfortunately I couldnt go there due to the fucking pandemic.So I wore it on my recent",
"trip to Bihar. Thank you is just a small word to appreciate what you have done for me, yet Id like to",
"thank you for everything youve done; for your care, unconditional support and forever love!...PC:-",
@beyousaif...IG:- @travelwithdanish #travelwithdanish...@instagram #bbcearth #nvedi,beyousaif...ig:- cntgiveitashot coi indianphotos tripotocommunity travelwithdanish holi
#thisweekoninstagram#holi #indiainframes #indianphotos #india #incrediableindia,sohaima._.ali foto4everofficial natgeoyourshot travelrealindia indiainframes mypixeldairy
#nustaharamkhor#lonelyplanet #streetphotographyindia #i_hobbygraphy #othallofframe #coi #_soi,lpmi nvedi travelwithdanish...@instagram othallofframe mypixeldiary i_hobbygraphy
#natgeoyourshot #lpmi #travelrealindia #tripotocommunity #mypixeldiary #mypixeldairy,indiapictures thisweekoninstagram nustaharamkhor bbcearth natgeoindia lonelyplanet
#foto4everofficial #CNTGiveItAShot #natgeoindia #indiapictures,streetphotographyindia incrediableindia _soi india
:see-no-evil_monkey::see-no-evil_monkey::red_heart::red_heart:...PC:- @bhupesh_pal ...IG:-,
@travelwithdanish #travelwithdanish...Shot on Pixel 3Xl@Google #TeamPixel #madebygoogle.,indiainframes mypixeldairy lpmi nvedi travelwithdanish...shot othallofframe mypixeldiary
@instagram #bbcearth #nvedi #thisweekoninstagram#holi #indiainframes #indianphotos #india,i_hobbygraphy indiapictures thisweekoninstagram nustaharamkhor bbcearth natgeoindia
#incrediableindia #nustaharamkhor#lonelyplanet #streetphotographyindia #i_hobbygraphy,lonelyplanet streetphotographyindia incrediableindia _soi india teampixel bhupesh_pal
#othallofframe #coi #_soi #natgeoyourshot #lpmi #travelrealindia #tripotocommunity #mypixeldiary,cntgiveitashot google coi madebygoogle.@instagram indianphotos tripotocommunity
#mypixeldairy #foto4everofficial #CNTGiveItAShot #natgeoindia #indiapictures,travelwithdanish holi foto4everofficial natgeoyourshot travelrealindia
Colours And Pride :white_flag::rainbow:.....IG:- @travelwithdanish #travelwithdanish...Shot on Pixel,google coi indianphotos tripotocommunity travelwithdanish holi foto4everofficial
3Xl@Google #TeamPixel #madebygoogle#prideforeveryone.@instagram #bbcearth #nvedi,madebygoogle natgeoyourshot travelrealindia indiainframes mypixeldairy lpmi nvedi
#thisweekoninstagram#holi #indiainframes #indianphotos #india #incrediableindia,travelwithdanish...shot othallofframe mypixeldiary i_hobbygraphy indiapictures
#nustaharamkhor#lonelyplanet #streetphotographyindia #i_hobbygraphy #othallofframe #coi #_soi,prideforeveryone.@instagram thisweekoninstagram nustaharamkhor bbcearth natgeoindia
#natgeoyourshot #lpmi #travelrealindia #tripotocommunity #mypixeldiary #mypixeldairy,lonelyplanet streetphotographyindia incrediableindia _soi india hellofrom teampixel
#foto4everofficial #CNTGiveItAShot #natgeoindia #indiapictures #hellofrom,cntgiveitashot
"Pushkar, Rajasthan ....@travelwithdanish #travelwithdanish...Shot on Canon 80D#capturedoncanon",
@canonindia_official ...@instagram #bbcearth #nvedi #thisweekoninstagram#indiainframes,thisweekoninstagram nustaharamkhor bbcearth natgeoindia canonindia_official
#indianphotos #india #incrediableindia #nustaharamkhor#lonelyplanet #streetphotographyindia,lonelyplanet streetphotographyindia incrediableindia _soi india capturedoncanon hellofrom
#i_hobbygraphy #coi #_soi #natgeoyourshot #lpmi #travelrealindia #tripotocommunity #mypixeldiary,cntgiveitashot coi maibhisadakchap ngtindia indianphotos tripotocommunity
#mypixeldairy #foto4everofficial #CNTGiveItAShot #natgeoindia #indiapictures #maibhisadakchap,travelwithdanish foto4everofficial natgeoyourshot travelrealindia indiainframes
#ngtindia #hellofrom,mypixeldairy lpmi nvedi travelwithdanish...shot mypixeldiary i_hobbygraphy indiapictures
"One who eradicates cruelty from within his own mind, He looks upon everyone in the world as his",
friend. (Sri Guru Granth Sahib Ji: Ang 266)......@travelwithdanish #travelwithdanish....#bbctravel,bwphotography travelwithdanish travelwithdanish bbctravel bnwmood foto4everofficial
#nvedi #bwphotography #yourshotphotographer#indiapictures #foto4everofficial #mypixeldairy,travelrealindia nvedi somewheremagazine mypixeldairy lpmi indianphotography
#indianphotography #photographers_of_india #storiesofindia #coloursofindia #i_hobbygraphy,bnw_greatshots storiesofindia passionpassport i_hobbygraphy indiapictures moodygrams
#othallofframe #indiapictures #moodygrams #lpmi #travelrealindia #zonestreet #_eoi,bbcearth natgeoindia _eoi yourshotphotographer beautifuldestinations zonestreet
#india_undiscovered #inspiroindia #beautifuldestinations #natgeoindia #passionpassport,photographers_of_india coloursofindia goldentemple india_undiscovered inspiroindia
#somewheremagazine#bnw_greatshots #bbcearth #bnwmood #goldentemple,othallofframe
"Muharram, 2019, New Delhi..#spi_silhouettes .....@travelwithdanish #travelwithdanish...#bbctravel",zonestreet photographers_of_india coloursofindia india_undiscovered inspiroindia
#nvedi #bwphotography #yourshotphotographer#indiapictures #foto4everofficial #mypixeldairy,othallofframe bwphotography travelwithdanish travelwithdanish bbctravel bnwmood
#indianphotography #photographers_of_india #storiesofindia #coloursofindia #i_hobbygraphy,foto4everofficial travelrealindia indianphotography nvedi somewheremagazine
#othallofframe #indiapictures #moodygrams #lpmi #travelrealindia #zonestreet #_eoi,mypixeldairy lpmi bnw_greatshots storiesofindia passionpassport i_hobbygraphy
#india_undiscovered #inspiroindia #beautifuldestinations #natgeoindia,indiapictures moodygrams bbcearth natgeoindia _eoi yourshotphotographer
#somewheremagazine#bnw_greatshots #bbcearth #bnwmood #passionpassport,spi_silhouettes beautifuldestinations
", 2019...IG:- @travelwithdanish #travelwithdanish...Shot on Pixel 3Xl@Google #TeamPixel",indianphotos tripotocommunity snapthat lpmi nvedi mypixeldairy focusontheweekend.
#SnapThat#focusontheweekend.@instagram #bbcearth #nvedi #thisweekoninstagram#holi,@instagram natgeoyourshot indiapictures i_hobbygraphy indiainframes bbcearth
#indiainframes #indianphotos #india #incrediableindia #nustaharamkhor#lonelyplanet,natgeoindia travelwithdanish...shot mypixeldiary teampixel google thisweekoninstagram
#streetphotographyindia #i_hobbygraphy #othallofframe #coi #_soi #natgeoyourshot #lpmi,nustaharamkhor lonelyplanet streetphotographyindia incrediableindia _soi india holi
#travelrealindia #tripotocommunity #mypixeldiary #mypixeldairy #foto4everofficial #CNTGiveItAShot,lpmiindianscenes othallofframe cntgiveitashot travelwithdanish coi foto4everofficial
#natgeoindia #indiapictures #lpmiindianscenes,travelrealindia
Peaceful & Solitude- The Golden Hour....@travelwithdanish #travelwithdanish...#bbctravel #nvedi,
#bwphotography #yourshotphotographer#indiapictures #foto4everofficial #mypixeldairy,indianphotography somewheremagazine bnw_greatshots lpmiindianscenes othallofframe
#indianphotography #photographers_of_india #storiesofindia #coloursofindia #i_hobbygraphy,storiesofindia passionpassport moodygrams travelwithdanish _eoi yourshotphotographer
#othallofframe #indiapictures #moodygrams #lpmi #travelrealindia #zonestreet #_eoi,foto4everofficial beautifuldestinations travelrealindia zonestreet photographers_of_india
#india_undiscovered #inspiroindia #beautifuldestinations #natgeoindia #passionpassport,lpmi nvedi coloursofindia mypixeldairy indiapictures i_hobbygraphy india_undiscovered
#somewheremagazine#bnw_greatshots #bbcearth #bnwmood #lpmiindianscenes,bbcearth natgeoindia inspiroindia bwphotography travelwithdanish bnwmood bbctravel
Welcome Ganesha :smiling_face_with_heart-eyes::red_heart:...@travelwithdanish,
#travelwithdanish...Shot on Canon 80d#capturedoncanon @canonindia_official ....#bbctravel #delhi,indiapictures ngtindia i_hobbygraphy india_undiscovered natgeoindia inspiroindia
#feelingthechange #yourshotphotographer#indiapictures #mypixeldairy #indianphotography,cntgiveitashot sodelhi feelingthechange bbctravel canonindia_official indianphotography
#photographers_of_india #storiesofindia #coloursofindia #i_hobbygraphy #othallofframe #_soidelhi,lpmiindianscenes othallofframe storiesofindia dfordelhi moodygrams travelwithdanish _eoi
#indiapictures #moodygrams #lpmi #travelrealindia #zonestreet #_eoi #india_undiscovered,travelwithdanish...shot delhi capturedoncanon yourshotphotographer _soidelhi
#inspiroindia #CNTGiveItAShot #natgeoindia #dfordelhi #sodelhi #delhiwale #ngtindia,travelrealindia zonestreet photographers_of_india lpmi coloursofindia mypixeldairy
#lpmiindianscenes,delhiwale
Happy World Photography Day :victory_hand::red_heart:..PC:- @photubaaz Bhai ...,
#travelwithdanish#bbctravel #delhi #india #nvedi #nustaharamkhor #maibhisadakchap #indiapictures,dfordelhi india moodygrams delhi travelrealindia photographers_of_india travelwithdanish
#foto4everofficial #mypixeldairy #indianphotography #photographers_of_india #storiesofindia,coi lpmi coloursofindia mypixeldairy delhiwale indiapictures i_hobbygraphy indianphotos
#coloursofindia #i_hobbygraphy #othallofframe #moodygrams #lpmi #travelrealindia #coi,tripotocommunity india_undiscovered natgeoindia photubaaz cntgiveitashot sodelhi
#_soi#tripotocommunity #india_undiscovered #CNTGiveItAShot #natgeoindia #dfordelhi #sodelhi,bbctravel foto4everofficial nustaharamkhor indianphotography nvedi maibhisadakchap
#delhiwale #indianphotos,othallofframe storiesofindia _soi
